Athlete,Time (s),Velocity (m/s)
Bolt,0,0.03
Bolt,0.1,0.5
Bolt,0.2,1.04
Bolt,0.3,2.145
Bolt,0.4,3.015
Bolt,0.5,3.055
Bolt,0.6,3.71
Bolt,0.7,3.72
Bolt,0.8,3.895
Bolt,0.9,4.29
Bolt,1,4.49
Bolt,1.1,5.145
Bolt,1.2,5.46
Bolt,1.3,5.83
Bolt,1.4,5.855
Bolt,1.5,6.18
Bolt,1.6,6.81
Bolt,1.7,6.865
Bolt,1.8,7.19
Bolt,1.9,6.90
Bolt,2,6.935
Bolt,2.1,7.435
Bolt,2.2,7.55
Bolt,2.3,7.34
Bolt,2.4,7.41
Bolt,2.5,7.56
Bolt,2.6,8.01
Bolt,2.7,8.31
Bolt,2.8,8.13
Bolt,2.9,8.22
Bolt,3,8.52
Bolt,3.1,8.515
Bolt,3.2,8.46
Bolt,3.3,8.56
Bolt,3.4,8.53
Bolt,3.5,8.33
Bolt,3.6,8.505
Bolt,3.7,8.73
Bolt,3.8,8.54
Bolt,3.9,8.59
Bolt,4,8.61
Bolt,4.1,9.00
Bolt,4.2,9.02
Bolt,4.3,8.92
Bolt,4.4,8.735
Bolt,4.5,8.67
Bolt,4.6,8.88
Bolt,4.7,9.015
Bolt,4.8,8.89
Bolt,4.9,8.89
