# OpenField Export : London2012,,,,,,,,
# Reference time : 000000,,,,,,,,
# CentisecTime : 00000,,,,,,,,
# DeviceId : Radar,,,,,,,,
# Speed Units : Meters Per Second,,,,,,,,
# Distance Units : Meters,,,,,,,,
"# Period: ""Speed""",,,,,,,,
"# Athlete: ""Bolt""",,,,,,,,
Seconds,Velocity
0.1,0.5
0.2,1.03
0.3,1.63
0.4,2.23
0.5,2.83
0.6,3.33
0.7,3.83
0.8,4.33
0.9,4.78
1,5.23
1.1,5.72
1.2,6.18
1.3,6.45
1.4,6.8
1.5,7.11
1.6,7.52
1.7,7.96
1.8,8.34
1.9,8.67
2,8.93
2.1,9.2
2.2,9.5
2.3,9.74
2.4,9.96
2.5,10.04
2.6,10.11
2.7,10.19
2.8,10.41
2.9,10.64
3,10.86
3.1,10.91
3.2,10.96
3.3,11.01
3.4,11.21
3.5,11.27
3.6,11.31
3.7,11.37
3.8,11.41
3.9,11.45
4,11.48
4.1,11.5
4.2,11.53
4.3,11.57
4.4,11.6
4.5,11.64
4.6,11.69
4.7,11.72
4.8,11.76
4.9,11.8
5,11.84
5.1,11.86
5.2,11.89
5.3,11.9
5.4,11.93
5.5,11.96
5.6,11.99
5.7,12.02
5.8,12.04
5.9,12.08
6,12.12
6.1,12.135
6.2,12.15
6.3,12.17
6.4,12.19
6.5,12.2
6.6,12.225
6.7,12.245
6.8,12.265
6.9,12.285
7,12.3
7.1,12.32
7.2,12.34
7.3,12.35
7.4,12.34



