Velocity (m/s),Time (s),Model Speed (m/s),Acceleration (m/s2),Force (N),Force (N/kg),Power (W/kg),Ratio Force (%),F0 (N),F0 (N/kg),V0 (m/s),Pmax (W),Pmax (W/kg),FV Profile Slope,RFmax,Drf
0.5,0.1,0.7716157385029776,7.469925329998079,702.3667824642533,7.471987047492057,5.7655028037352665,0.5176499031401978,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
1.03,0.2,1.495021691750449,7.0032118117739035,659.0294385255625,7.010951473676196,10.48152453295569,0.49368498146499235,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
1.63,0.3,2.1732299592608757,6.565658090799435,618.7091874186847,6.582012632113667,14.304227044342953,0.4703292998014225,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
2.23,0.4,2.80906444756532,6.155442291893341,581.1800676985762,6.182766677644428,17.367790061762513,0.44766341616206956,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
2.83,0.5,3.405172628318453,5.770856368826804,546.2347700382467,5.811008191896241,19.787486037979384,0.42575165783534835,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
3.33,0.6,3.9640365617744613,5.410298992403573,513.6829229695038,5.464711946484083,21.66231795542859,0.4046429975545925,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
3.83,0.7,4.487983231527122,5.072268882885727,483.3495521748724,5.1420165124986426,23.07728388432948,0.38437226501916827,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
4.33,0.8,4.979194233545583,4.755358559002849,455.0736944438094,4.841209515359675,24.1053225022649,0.3649615703150515,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
4.78,0.9,5.4397148598488005,4.458248477516902,428.70714956007913,4.5607143570221185,24.808985659418987,0.34642183333654647,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
5.23,1.0,5.871462614641019,4.179701538941277,404.113355288457,4.299078247749542,25.24187720907786,0.3287543337831957,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
5.72,1.1,6.276235198367573,3.9185579365370495,381.16637230784903,4.054961407530309,25.449891513963838,0.31195221699075226,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
